mode,mutation_type,mutation_count,healed,failed,broken,hsr
heuristic,id_change,18,1550,850,2400,0.6458
heuristic,attribute_removed,14,1550,850,2400,0.6458
heuristic,dom_wrap,9,1550,850,2400,0.6458
heuristic,element_reorder,4,1550,850,2400,0.6458
heuristic,placeholder_change,1,1550,850,2400,0.6458
heuristic,text_change,5,1550,850,2400,0.6458
heuristic,class_change,1,1550,850,2400,0.6458
ml,id_change,18,1600,850,2450,0.6531
ml,attribute_removed,14,1600,850,2450,0.6531
ml,dom_wrap,9,1600,850,2450,0.6531
ml,element_reorder,4,1600,850,2450,0.6531
ml,placeholder_change,1,1600,850,2450,0.6531
ml,text_change,5,1600,850,2450,0.6531
ml,class_change,1,1600,850,2450,0.6531
hybrid,id_change,18,1750,800,2550,0.6863
hybrid,attribute_removed,14,1750,800,2550,0.6863
hybrid,dom_wrap,9,1750,800,2550,0.6863
hybrid,element_reorder,4,1750,800,2550,0.6863
hybrid,placeholder_change,1,1750,800,2550,0.6863
hybrid,text_change,5,1750,800,2550,0.6863
hybrid,class_change,1,1750,800,2550,0.6863
